Age,Residents,Province,Interests,Shower,WashingMachine,DishWasher,EcoMode,WaterRecycling,GeneralRecycling,Meat,Gasoline,Pet,Garden,Estimation
Entre 36 y 65 años,2.0,Segovia,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,A veces,1 vez al día,100 - 200 km,Menos de 50 €,0,Ni idea!
Entre 18 y 35 años,2.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Más de 40 €
Entre 18 y 35 años,3.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,A veces,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Madrid,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Nunca!,1 vez al día,No uso coche,Entre 50 y 100 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,3.0,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,1.0,Toledo,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,100 - 200 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 36 y 65 años,3.0,Ávila,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez a la semana,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Salamanca,Conocer mi huella hídrica,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,1.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,3.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,1.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Nunca!,1 vez cada 3 días,Menos de 100 km,No tengo mascota,40,Entre 10€ y 40 €
Entre 18 y 35 años,1.0,Álava,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Menos de 10 €
Mayor de 65 años,3.0,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Menos de 10 €
Entre 36 y 65 años,1.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,3.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,2.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,3.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,3.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,Friego a mano,Siempre,Si,Siempre,1 vez al día,No uso coche,Entre 50 y 100 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,Entre 50 y 100 €,0,Más de 40 €
Entre 36 y 65 años,2.0,Segovia,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,250,Ni idea!
Entre 18 y 35 años,4.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,10,Menos de 10 €
Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,Si,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,100,Menos de 10 €
Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,3.0,Segovia,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,20,Más de 40 €
Entre 36 y 65 años,3.0,Segovia,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,1 vez al día,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,Más de 100 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,1 vez al día,A veces,Si,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 36 y 65 años,3.0,Huesca,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Más de 40 €
Entre 36 y 65 años,4.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,0,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Sevilla,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,1.0,Cuenca,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Menos de 10 €
Entre 36 y 65 años,3.0,Huesca,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!
Menor de 18 años,4.0,Huesca,Ahorrar agua,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Ni idea!
Menor de 18 años,4.0,Huesca,Ahorrar agua,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Ni idea!
Entre 18 y 35 años,4.0,Segovia,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez al día,No uso coche,Entre 50 y 100 €,0,Más de 40 €
Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Huesca,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,A veces,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Entre 10€ y 40 €
Mayor de 65 años,4.0,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Ni idea!
Mayor de 65 años,2.0,Las Palmas,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Si,Siempre,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,1.0,Cantabria,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Menos de 10 €
Entre 18 y 35 años,4.0,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,3.0,Madrid,Ahorrar dinero,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez a la semana,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Nunca!,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,4.0,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,3.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,1.0,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Nunca!,1 vez cada 3 días,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Madrid,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Si,Siempre,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,3.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,No sabía que existía ese modo,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,3.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,A veces,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,2000,Ni idea!
Entre 18 y 35 años,4.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez cada 3 días,Más de 200 km,No tengo mascota,0,Menos de 10 €
Entre 18 y 35 años,4.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,4.0,Segovia,Ayudar al ecosistema,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,4.0,Segovia,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Ni idea!
Entre 18 y 35 años,4.0,Segovia,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,4.0,Segovia,Ayudar al ecosistema,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,Siempre,1 vez al día,Menos de 100 km,Menos de 50 €,0,Más de 40 €
Entre 18 y 35 años,4.0,Valladolid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Menos de 10 €
Entre 18 y 35 años,3.0,Madrid,Ayudar al ecosistema,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,4.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,5.0,Madrid,Ayudar al ecosistema,Más de 15 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Ni idea!
Entre 18 y 35 años,2.0,Pontevedra,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Buena idea! Voy a probarlo!,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
Mayor de 65 años,1.0,Cantabria,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,Menos de 50 €,800,Ni idea!
Entre 36 y 65 años,4.0,Segovia,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez al día,Más de 200 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,3.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,No,Nunca!,1 vez al día,100 - 200 km,Entre 50 y 100 €,70,Más de 40 €
Entre 18 y 35 años,5.0,Segovia,Conocer mi huella hídrica,Menos de 5 minutos,Más de 5,1 vez al día,A veces,No,Nunca!,1 vez a la semana,No uso coche,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,3.0,Segovia,Ahorrar agua,Entre 11 y 15 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Menos de 10 €
Entre 18 y 35 años,3.0,Toledo,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,A veces,No,A veces,1 vez a la semana,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Valladolid,Ahorrar agua,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,Si,A veces,1 vez al día,Más de 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,No uso coche,Entre 50 y 100 €,0,Más de 40 €
Entre 18 y 35 años,4.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,Si,A veces,1 vez cada 3 días,100 - 200 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,2.0,Cáceres,Conocer mi huella hídrica,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,1.0,Santa Cruz de Tenerife,Ayudar al ecosistema,Menos de 5 minutos,Menos de 3 veces,Friego a mano,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Menos de 10 €
Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Barcelona,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Más de 40 €
Entre 18 y 35 años,5.0,Segovia,Ayudar al ecosistema,Entre 5 y 10 minutos,Más de 5,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,A veces,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,3.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,Nunca!,No uso coche,Menos de 50 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Segovia,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,50,Entre 10€ y 40 €
Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,Siempre,No,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,2.0,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,3.0,Gipuzkoa,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,3.0,Cádiz,Ahorrar dinero,Entre 11 y 15 minutos,Más de 5,Friego a mano,No sabía que existía ese modo,No,Nunca!,1 vez cada 3 días,No uso coche,Menos de 50 €,0,Más de 40 €
Entre 36 y 65 años,5.0,Asturias,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,5.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Entre 3 y 5 veces,1 vez al día,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez cada 3 días,100 - 200 km,Menos de 50 €,60,Más de 40 €
Entre 18 y 35 años,4.0,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez al día,100 - 200 km,No tengo mascota,0,Más de 40 €
Entre 36 y 65 años,2.0,Madrid,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Si,Siempre,1 vez a la semana,No uso coche,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Cantabria,Ahorrar agua,Menos de 5 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez cada 3 días,Menos de 100 km,Entre 50 y 100 €,0,Menos de 10 €
Entre 18 y 35 años,2.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,Friego a mano,No sabía que existía ese modo,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Ni idea!
Entre 18 y 35 años,5.0,Barcelona,Ahorrar dinero,Entre 5 y 10 minutos,Menos de 3 veces,1 vez al día,Siempre,No,Siempre,1 vez al día,No uso coche,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,2.0,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez al día,No uso coche,Menos de 50 €,0,Ni idea!
Entre 18 y 35 años,1.0,Almería,Conocer mi huella hídrica,Menos de 5 minutos,Menos de 3 veces,Friego a mano,Siempre,No,Siempre,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,No,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,15,Más de 40 €
Entre 18 y 35 años,2.0,Alicante,Ahorrar dinero,Más de 15 minutos,Menos de 3 veces,Friego a mano,Siempre,No,A veces,1 vez al día,Menos de 100 km,Menos de 50 €,300,Más de 40 €
Entre 36 y 65 años,6.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Más de 5,1 vez al día,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,500,Más de 40 €
Entre 36 y 65 años,2.0,Madrid,Ayudar al ecosistema,Entre 5 y 10 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Si,Siempre,1 vez cada 3 días,No uso coche,No tengo mascota,0,Ni idea!
Entre 18 y 35 años,3.0,Madrid,Ahorrar dinero,Menos de 5 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,Siempre,Buena idea! Voy a probarlo!,Nunca!,1 vez a la semana,Menos de 100 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Madrid,Ahorrar agua,Menos de 5 minutos,Menos de 3 veces,1 vez al día,A veces,No,Siempre,1 vez al día,100 - 200 km,Menos de 50 €,0,Más de 40 €
Entre 18 y 35 años,3.0,Segovia,Conocer mi huella hídrica,Entre 5 y 10 minutos,Entre 3 y 5 veces,1 vez al día,Siempre,No,A veces,1 vez al día,No uso coche,Más de 100 €,0,Ni idea!
Entre 36 y 65 años,1.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,No sabía que existía ese modo,Si,Siempre,1 vez al día,Menos de 100 km,Entre 50 y 100 €,10,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Madrid,Ahorrar dinero,Más de 15 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,A veces,1 vez cada 3 días,Menos de 100 km,No tengo mascota,0,Más de 40 €
Mayor de 65 años,1.0,A Coruña,Conocer mi huella hídrica,Entre 11 y 15 minutos,Más de 5,Friego a mano,A veces,Buena idea! Voy a probarlo!,Siempre,1 vez a la semana,Más de 200 km,Más de 100 €,100,Entre 10€ y 40 €
Entre 36 y 65 años,4.0,Madrid,Ahorrar agua,Entre 5 y 10 minutos,Entre 3 y 5 veces,Entre 3 y 5 a la semana,A veces,No,Siempre,1 vez al día,Menos de 100 km,No tengo mascota,0,Ni idea!
Entre 36 y 65 años,5.0,Madrid,Ahorrar dinero,Menos de 5 minutos,Más de 5,Entre 3 y 5 a la semana,No sabía que existía ese modo,No,Nunca!,1 vez a la semana,100 - 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 18 y 35 años,3.0,Madrid,Conocer mi huella hídrica,Entre 11 y 15 minutos,Menos de 3 veces,Entre 3 y 5 a la semana,A veces,Buena idea! Voy a probarlo!,A veces,1 vez al día,Más de 200 km,Entre 50 y 100 €,0,Entre 10€ y 40 €
Entre 18 y 35 años,4.0,Madrid,Ahorrar dinero,Entre 5 y 10 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,Siempre,1 vez al día,Más de 200 km,No tengo mascota,0,Entre 10€ y 40 €
Entre 36 y 65 años,5.0,Madrid,Ahorrar dinero,Entre 11 y 15 minutos,Entre 3 y 5 veces,Friego a mano,A veces,No,A veces,1 vez cada 3 días,No uso coche,No tengo mascota,0,Más de 40 €
